Date ,Distance tested,Weather,Observer1,Observer2,Start time,End time, Z1  in front START, Z1  in front END,Z1 in front AVG,Z1 behind START,Z1 behind END,Z1 behind AVG,Z3 in front START,Z3 in front END,Z3 in front AVG,Z3 behind START,Z3 behind END,Z3 behind AVG,Z5 in front START,Z5 in front END,Z5 in front AVG,Z5 behind START,Z5 behind END,Z5 behind AVG,KI START total,KI END total,KI AVG total,Z2 START,Z2 END,Z2 AVG,Z4 START,Z4 END,Z4 AVG,SBI total START,SBI total END,SBI total AVG,Min,Max,Best Guess,Calves,Individuals Ided,Zone(s) traveled,ActivityState,Number_SH,Zone_SH,Number_SLF,Zone_SLF,Number_TS,Zone_TS,Number_Chuff,Zone_Chuff,Number Sf Events,SF_Zone,SF_Ind,Number Boats,Boat_Zone,Number Kayaks,Kayak_Zone,Tidal height,SF OE (5 min after),SF OE Zone,SF OE Number Individuals,Low tide time,Low tide height,Tidal height at beginning of setup,Tidal height at end of setup,NOTES
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",12:20,12:25,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,4,0,2,,,,,,,4,4,4,0,0,0,0,,,,,,,,,,,,,,,0,,0,,0,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",12:30,12:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6.5,7,6,6.5,,,,,,,6,6,6,0,0,0,0,,,,,,,,,,,,,,,0,,0,,-0.2,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",12:40,12:45,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,4,2,6,4,5,,,,,,,7,7,7,0,0,0,0,,,,,,,,,,,,,,,0,,0,,-0.2,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",12:50,12:55,0,0,0,0,0,0,0,0,0,1,6,3.5,0,0,0,8,3,5.5,9,9,9,,,,,,,11,10,10.5,1,1,1,0,,,,,,,,,,,,0,,,0,,0,,-0.2,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",13:00,13:05,0,0,0,0,4,2,0,0,0,6,6,6,0,0,0,3,0,1.5,9,10,9.5,,,,,,,10,10,10,0,0,0,0,,,,,,,,,,,,,,,0,,0,,-0.3,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",13:10,13:15,0,0,0,0,7,3.5,0,0,0,11,14,12.5,0,0,0,1,0,0.5,12,21,16.5,,,,,,,11,11,11,0,0,0,0,,,,,,,,,,,,,,,0,,0,,-0.5,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",13:20,13:25,0,0,0,8,0,4,0,0,0,9,0,4.5,0,0,0,0,0,0,17,0,8.5,,,,,,,14,14,14,0,0,0,0,,,,,,,,,,,,,,,0,,0,,-0.6,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",13:30,13:35,0,0,0,10,10,10,0,0,0,8,8,8,0,0,0,1,2,1.5,19,20,19.5,,,,,,,10,10,10,0,0,0,0,,,,,,,,,,,,,,,0,,0,,-0.6,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",13:40,13:45,0,0,0,0,0,0,0,0,0,11,9,10,0,0,0,6,6,6,17,15,16,,,,,,,5,5,5,0,0,0,0,,,,,,,,,,,,,,,1,,0,,,,,,13:44,-0.6,,,Shrimp boat offshore
6/5/24,0,Sunny,Sophie ,"Sophia, Grace",13:50,13:55,0,0,0,0,0,0,0,0,0,11,7,9,0,0,0,3,2,2.5,14,9,11.5,,,,,,,5,5,5,0,0,0,0,,,,,,,,,,,,,,,0,,0,,,,,,13:44,-0.6,,,Shrimp boat offshore
